Tuple,Relevance,Wikipedia_URL_correct,Wikidata_URL_correct,Wikipedia_article_Wikidump,eval1,Wikipedia_URL_Wikidump,eval2,Wikidata_item_Pywikibot,eval3,Wikidata_URL_Pywikibot,eval4,Wikidata_item_SPARQL,eval5,Wikidata_URL_SPARQL,eval6,comment
variety of,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
of shapes,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
shapes which,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
which give,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
give a,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
a good,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
good qualitative,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
qualitative agreement,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
agreement with,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
with observational,1,https://en.wikipedia.org/wiki/Observation,https://www.wikidata.org/wiki/Q193181,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
observational results,1/2,https://en.wikipedia.org/wiki/Observation,https://www.wikidata.org/wiki/Q193181,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
results However,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
However as,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
as we,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
we show,-,-,-,we show,FP,https://en.wikipedia.org/wiki/we_show,FP,-,TN,-,TN,-,TN,-,TN,-
show the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the extremely,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
extremely low,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
low velocity,1/2,https://en.wikipedia.org/wiki/Velocity,https://www.wikidata.org/wiki/Q11465,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
velocity dispersions,1,https://en.wikipedia.org/wiki/Velocity_dispersion,https://www.wikidata.org/wiki/Q637450,-,FN,-,FN,-,FN,https://www.wikidata.org/wiki/Q637450,TP,-,FN,https://www.wikidata.org/wiki/Q637450,TP,-
dispersions of,1,https://en.wikipedia.org/wiki/Dispersion_relation,https://www.wikidata.org/wiki/Q590051,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the axions,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,FN,-,FN,-,FN,https://www.wikidata.org/wiki/Q792548,TP,-,FN,https://www.wikidata.org/wiki/Q792548,TP,-
axions velocity,1,https://en.wikipedia.org/wiki/Velocity,,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
velocity are,1,https://en.wikipedia.org/wiki/Velocity,https://www.wikidata.org/wiki/Q11465,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
are required,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
required to,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
to form,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
form the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the single,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
single vortex,1/2,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
vortex on,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
on the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
galactic scales,1/2,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
scales We,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
We find,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
find that,-,-,-,find that,FP,https://en.wikipedia.org/wiki/find_that,FP,-,TN,-,TN,-,TN,-,TN,-
that the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the required,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
required velocity,1/2,https://en.wikipedia.org/wiki/Velocity,https://www.wikidata.org/wiki/Q11465,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
velocity dispersion,1,https://en.wikipedia.org/wiki/Velocity_dispersion,https://www.wikidata.org/wiki/Q637450,velocity dispersion,TP,https://en.wikipedia.org/wiki/velocity_dispersion,TP,velocity dispersion,TP,https://www.wikidata.org/wiki/Q637450,TP,-,FN,https://www.wikidata.org/wiki/Q637450,TP,-
dispersion is,1,https://en.wikipedia.org/wiki/Dispersion_relation,https://www.wikidata.org/wiki/Q590051,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
is of,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the order,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,the order,TP,https://en.wikipedia.org/wiki/the_order,TP,-,FN,-,FN,the order,FN,https://www.wikidata.org/wiki/Q55635439,FN,"""Wikidata_URL_SPARQL"" incorrectly refers to ""American horror drama web television series"""
order of,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,order of,FN,https://en.wikipedia.org/wiki/order_of,FN,-,FN,-,FN,-,FN,-,FN,"""order of magnitude"" close enough to ""order""?"
of This,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
This is,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
is much,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
much smaller,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
smaller that,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
that predicted,1/2,https://en.wikipedia.org/wiki/Prediction,https://www.wikidata.org/wiki/Q748250,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
predicted within,1/2,https://en.wikipedia.org/wiki/Prediction,https://www.wikidata.org/wiki/Q748250,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
within the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the present,-,-,-,the present,FP,https://en.wikipedia.org/wiki/the_present,FP,-,TN,-,TN,-,TN,-,TN,-
present understanding,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
understanding of,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the axion,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
axion physics,1/2,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,FN,-,FN,-,FN,https://www.wikidata.org/wiki/Q792548,TP,-,FN,https://www.wikidata.org/wiki/Q792548,TP,"I assume ""axion physics"" is close to ""axion"""
physics The,1,https://en.wikipedia.org/wiki/Physics,https://www.wikidata.org/wiki/Q413,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
The vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,"could we choose ""https://en.wikipedia.org/wiki/Vortex"""
vortices in,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
in axion,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
axion condensate,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
condensate can,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
can be,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
be however,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
however formed,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
formed on,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
on the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the much,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
much smaller,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
smaller scales,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
scales and,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
and give,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
give seeds,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,"""seed"" wikipedia article is irrelavent for seeds"
seeds to,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
to the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the galaxy,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,the galaxy,TP,https://en.wikipedia.org/wiki/the_galaxy,TP,-,FN,https://www.wikidata.org/wiki/Q318,TP,-,FN,https://www.wikidata.org/wiki/Q318,TP,-
galaxy formation,1,https://en.wikipedia.org/wiki/Galaxy_formation_and_evolution,https://www.wikidata.org/wiki/Q1995140,galaxy formation,TP,https://en.wikipedia.org/wiki/galaxy_formation,TP,-,FN,https://www.wikidata.org/wiki/Q1995140,TP,-,FN,https://www.wikidata.org/wiki/Q1995140,TP,-
formation and,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,"disambiguation page for ""formation"""
and to,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
to their,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
their angular,1,https://en.wikipedia.org/wiki/Angle,https://www.wikidata.org/wiki/Q11352,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
angular momenta,1,https://en.wikipedia.org/wiki/Angular_momentum,https://www.wikidata.org/wiki/Q161254,angular momenta,TP,https://en.wikipedia.org/wiki/angular_momenta,TP,-,FN,https://www.wikidata.org/wiki/Q161254,TP,-,FN,https://www.wikidata.org/wiki/Q161254,TP,-
momenta On,1,https://en.wikipedia.org/wiki/Momentum,https://www.wikidata.org/wiki/Q41273,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
On the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the other,-,-,-,the other,FP,https://en.wikipedia.org/wiki/the_other,FP,-,TN,-,TN,-,TN,-,TN,-
other hand,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
hand the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
vortices can,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
can be,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
be formed,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
formed on,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
on the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
galactic scales,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q318,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
scales but,1/2,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
but only,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
only if,-,-,-,only if,FP,https://en.wikipedia.org/wiki/only_if,FP,-,TN,-,TN,-,TN,-,TN,-
if the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the mass,1,https://en.wikipedia.org/wiki/Mass,https://www.wikidata.org/wiki/Q11423,the mass,FN,https://en.wikipedia.org/wiki/the_mass,FN,-,FN,https://www.wikidata.org/wiki/Q11423,TP,-,FN,https://www.wikidata.org/wiki/Q11423,TP,"incorrect ""Wikipedia_URL_Wikidump"". It redirects to ""Mass_(liturgy)"""
mass of,1,https://en.wikipedia.org/wiki/Mass,https://www.wikidata.org/wiki/Q11423,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the axion-like,1/2,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
axion-like particles,1/2,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
particles is,1,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
is of,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the order,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,the order,FN,https://en.wikipedia.org/wiki/the_order,FN,-,FN,-,FN,the order,FN,https://www.wikidata.org/wiki/Q55635439,FN,-
order of,1,https://en.wikipedia.org/wiki/Orders_of_magnitude_(numbers),https://www.wikidata.org/wiki/Q1191085,order of,FN,https://en.wikipedia.org/wiki/order_of,FN,-,FN,-,FN,-,FN,-,FN,-
of In,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
In this,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
this case,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
case the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the particle,1,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,FN,https://en.wikipedia.org/wiki/Particle,TP,-,FN,https://www.wikidata.org/wiki/Q1621273,TP,-,FN,https://www.wikidata.org/wiki/Q1621273,TP,-
particle de,1/2,https://en.wikipedia.org/wiki/Particle,https://www.wikidata.org/wiki/Q1621273,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
de Broglie,1,https://en.wikipedia.org/wiki/Louis_de_Broglie,https://www.wikidata.org/wiki/Q83331,-,FN,https://en.wikipedia.org/wiki/Louis_de_Broglie,TP,-,FN,https://www.wikidata.org/wiki/Q83331,TP,de Broglie,TP,https://www.wikidata.org/wiki/Q2523762,FN,"incorrect ""Wikidata_URL_SPARQL"". I am not sure about correcting it."
Broglie wavelength,1/2,https://en.wikipedia.org/wiki/Matter_wave,https://www.wikidata.org/wiki/Q193907,-,FN,https://en.wikipedia.org/wiki/Matter_wave,TP,-,FN,https://www.wikidata.org/wiki/Q193907,TP,-,FN,https://www.wikidata.org/wiki/Q193907,TP,-
wavelength is,1,https://en.wikipedia.org/wiki/Wavelength,https://www.wikidata.org/wiki/Q41364,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
is comparable,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
comparable with,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
with the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
galactic diameter,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
diameter This,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
This condition,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
condition must,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
must be,-,-,-,must be,FP,https://en.wikipedia.org/wiki/must_be,FP,-,TN,-,TN,-,TN,-,TN,-
be fulfilled,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
fulfilled in,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
in order,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
order to,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
to keep,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
keep the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the coherence,1,https://en.wikipedia.org/wiki/Coherence_(physics),https://www.wikidata.org/wiki/Q193147,-,FN,https://en.wikipedia.org/wiki/Coherence_(physics),TP,-,FN,https://www.wikidata.org/wiki/Q193147,TP,-,FN,https://www.wikidata.org/wiki/Q193147,TP,-
coherence of,1,https://en.wikipedia.org/wiki/Coherence_(physics),https://www.wikidata.org/wiki/Q193147,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the quantum,1,https://en.wikipedia.org/wiki/Quantum,https://www.wikidata.org/wiki/Q46344,-,FN,-,FN,-,FN,https://www.wikidata.org/wiki/Q46344,TP,-,FN,https://www.wikidata.org/wiki/Q46344,TP,-
quantum condensate,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,FN,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,TP,-,FN,https://www.wikidata.org/wiki/Q46202,TP,-,FN,https://www.wikidata.org/wiki/Q46202,TP,"Please verify ""Wikipedia_URL_correct"" for ""quantum condensate"""
condensate on,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
on the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
galactic scales,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
Precision,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Recall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
F1-measure,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
