,de,mscs,mrmscs,keyword_mscs,refs_mscs,nDCG_mrmscs,nDCG_keywords,nDCG_refs,nDCG_keywords_and_refs,nDCG_keywords_or_refs
39,5647962,"['55M20', '54H25', '14H30']","['55M20', '14H30', '54H25']","['55M20', '54H25', '20F10', '54H20', '20F36', '37C25', '37E30', '37B30', '57N05', '57S30']","['55M20', '57M25', '57N75', '55-01', '55Nxx', '55Pxx', '55Qxx', '57M10', '54H25', '57M05']",0.9525936227991185,0.8189625508803525,0.5800657083333175,0.8189625508803525,0.26557012037488703
40,5647963,"['54C60', '54B99', '54A20']","['54B10', '54C60', '54D80', '54F65']","['54C60', '54D80', '54F15', '54B10', '54B99', '18A30', '54F45', '54F65', '54H20', '37B45']","['54E45', '54C60', '54B10', '54-01', '54B20', '54-02', '54F15', '54B35', '54F65', '03-01']",0.22844382632052884,0.6422142798653592,0.22844382632052884,0.36207489823929484,0.42086974692395845
41,5647964,"['55Q05', '57M10', '55M35']",['55Q05'],"['57M10', '55Q05', '57M05', '57M12', '55M35', '14F35', '14H30', '20F34']","['55Q52', '55M10', '54E15', '54F50', '57N13', '57N65', '19J25', '57P10', '57R67', '55R65']",0.36207489823929484,1.0926633136121506,0.0,0.0,0.7711879608896018
42,5647967,"['54F15', '54B15', '54F35']",['54F15'],"['54F15', '54B20', '54F50', '54C10', '54E40', '54F45', '54D35', '54C60', '54F65', '54E45']","['54-02', '54C55', '54C15', '54F50', '54F55', '54F65', '54F15', '54B20', '57-01', '54-01']",0.36207489823929484,0.36207489823929484,0.1206916327464316,0.15593717093847356,0.15593717093847356
43,5647969,"['19G24', '19J25', '55N91']","['19G24', '19J25', '55N91']","['19D35', '57R67', '19B28', '19J10', '57N37', '57N65', '32J15', '32Q99', '19A31', '20F99']","['19D35', '19D55', '19B99', '20F36', '57R99', '20-02', '20F05', '05C25', '55-02', '57-02']",1.0,0.0,0.0,0.0,0.0
44,5648165,"['11B37', '11F27']","['11B37', '15A15', '33E05']","['15A15', '65F40', '15B57', '15B33', '05C50', '15A09', '15A18', '15A45', '65F05', '15A24']","['05A30', '33D15', '11P84', '11B65', '39A13', '33E05', '11F20', '11F27', '14K25', '11E25']",0.44211410869774026,0.0,0.27894294565112987,0.0,0.21632691274203694
45,5648166,"['05C10', '68R10']","['05C10', '05C62']","['05C10', '68R10', '37C10', '54H20', '57N13', '57R40', '37B25', '37G15', '32G15']","['05C15', '05C10', '57M15', '57M99', '51E15', '57Q15', '05C05', '05C35']",0.44211410869774026,1.0,0.27894294565112987,0.44211410869774026,0.41203255387539556
46,5648167,"['94B15', '11T71']",['94B15'],"['94B15', '11T71', '94B05', '11R33', '94A60', '94B65', '13P10', '13F10', '11R20', '11R29']","['94B15', '94B05', '11T71', '94B27', '11T06', '94B60', '94B40', '94-02']",0.44211410869774026,1.0,0.8842282173954805,0.7210570543488701,0.532474350745065
47,5648168,"['05C15', '05A18', '05B45']",['05A18'],"['05C15', '05A18', '05B45']","['05C15', '05C10', '05C85', '05C70', '68U05', '65D18', '05C35', '68R10', '68Q25', '03D15']",0.7241497964785897,1.0,0.36207489823929484,0.36207489823929484,0.4109130563507597
48,5648171,['94B25'],['94B25'],"['94B05', '37D50', '52A10', '37C15', '94B25', '94B65', '94B60', '05D05']","['94B05', '94B25', '94B65', '94-02', '94B35', '94-04', '94B60', '20B25', '20N05', '94Bxx']",1.0,0.38685280723454163,0.6309297535714575,0.6309297535714575,0.43067655807339306
49,5648174,"['52A20', '52A40']","['52A37', '52A20', '52A40']","['05C65', '05C35', '05C70', '52A20', '52A40', '05B35']","['49Q05', '52A40', '52A35', '05A05', '03E05', '52A10', '68P10', '52A22', '60C05', '05B99']",0.7210570543488701,0.532474350745065,0.5578858913022597,0.8842282173954805,0.4872362707974015
50,5653488,"['34D09', '34D08']","['34D09', '65F15']","['34D09', '34G10', '47D06', '34D05', '34G20', '34A30', '34K14', '34A37', '34D08', '39A12']","['34-01', '34A30', '34D08', '34D10', '34D20', '34C10', '34C11', '37-02', '37D25', '37C40']",0.44211410869774026,0.7082933251462716,0.44211410869774026,0.5578858913022597,0.3451385580470178
51,5653490,"['35Q35', '76A10', '35B44', '35B65']","['35Q35', '35B44', '35B65']","['76A10', '76W05', '76S05', '80A19', '35Q30', '76D03', '76D07', '74L15', '92Cxx', '35Q35']","['76B47', '35Q35', '76Bxx', '35Q99', '35S50', '35A20', '35S05', '35A27', '76A10', '35L80']",0.667472413793101,0.7170051581430745,0.38621012252084913,0.8240877157931812,0.2854524397434323
52,5653492,"['34C05', '34C07', '34C25', '37G10']","['37C27', '34C05', '34D20']","['34C05', '34A05', '34C25', '34C14', '34C20', '34C15', '34E10', '37C10', '65M20', '65M70']","['34C05', '34C23', '37C10', '58C25', '34-02', '40A30', '44A10', '34C07', '34C37', '55-01']",0.1976265077928601,0.4698459060002408,0.5108571117930206,0.3132306040001605,0.40716902398349086
53,5653494,"['35L71', '35L15', '35B40', '35B45']","['35L71', '35B45', '35L15']","['35K57', '34K20', '92D25', '35R10', '35L15', '35L67', '35L65', '76L05', '35B35', '35K15']","['35K55', '35K15', '46E35', '35A15', '35J60', '35B30', '35B40', '35B05', '35G10', '35K25']",0.8240877157931812,0.24234827693846628,0.10441020133338684,0.0,0.40644691045963377
54,5655733,"['35C07', '35K57', '35B10', '35B50', '35K20', '35B30', '35K58', '80A25']","['35K57', '35C07']","['74J99', '74B20', '35C07', '35K57', '35B10', '35B50', '35K20', '35B30', '35K58', '80A25']","['37N99', '35K57', '35Q80', '35B10', '35A05', '80A25', '35K55', '35P15', '35B30', '35B50']",0.573888195213255,0.7292798014131444,0.5756132476999157,0.7275360123744872,0.7490575410579736
55,5653470,"['32J27', '14J50', '32H50', '37C25']","['32H50', '32J27', '32Q15']","['32J27', '14J50', '32H50', '37C25', '17B40', '14H37', '14J28', '46L55', '32A07']","['14J40', '14J50', '14J32', '14E05', '32J27', '14J60', '14C20', '14K20', '14-02', '14K25']",0.5108571117930206,1.0,0.5164271540549533,0.7084836195858807,0.541693057876274
56,5653471,"['43A07', '11B05', '22B99']","['11B05', '11B13', '11B30', '37A45', '43A07']","['43A07', '28D20', '22D40', '22D10', '37B40', '37A15', '60B15', '60G50', '22D25', '46L55']","['05D10', '11B05', '11B83', '37A99', '37B99', '11B99', '37A45', '11K60', '28D05', '05D40']",0.8642194872916219,0.36207489823929484,0.4568876526410577,0.0,0.31308961376521266
57,5653472,"['14D23', '14H10']","['14H10', '14E08']","['14H10', '14C25', '13H10', '14M25', '14L24', '11G20', '55R80', '14H25', '14C30', '14F45']","['14H10', '14D20', '14A20', '32Q15', '32J27', '14H60', '14K30', '14H42', '14H45', '14N05']",0.8842282173954805,0.8842282173954805,0.8842282173954805,0.8842282173954805,0.3420661681354362
58,5653473,"['53C38', '53C29', '57R57']","['53C38', '14J33', '32Q25', '53C29', '53D37']","['53C30', '53C10', '53C38', '53C29', '57R57', '53C42']","['57M12', '57M25', '32Q99', '53D37', '53C29', '53C30', '53C10', '14J32', '14J28', '53C20']",0.6739492401162419,0.6329814818096267,0.2801393816260644,0.36207489823929484,0.4968747114783168
59,5653477,"['35B45', '35B65', '35K59', '35K65']","['35K55', '35B40', '35B45', '35K57']","['35B45', '35B65', '35K59', '35K65']","['76S05', '35Q99', '35K65', '35K55', '35B40', '35B05', '35B30', '47H20', '35D10', '35K60']",0.15661530200008025,1.0,0.15661530200008025,0.3132306040001605,0.4982585618284489
60,5653478,"['52A10', '52A38']",['52A38'],"['52A10', '52A38', '55M20', '55N91', '57S99', '55P91', '55N25', '55N33']","['52B11', '05A18', '60D05', '55M20', '54H25', '52A37', '57S17', '68R10', '52A10', '68W05']",0.8842282173954805,1.0,0.13308960822426566,0.27894294565112987,0.5995983317377327
61,5653479,"['14C21', '14J30', '14E05']","['14C21', '14E05', '14J30']","['14J26', '14J17', '14J27', '14C20', '14C21', '14J30', '14E05']","['14E30', '14E05', '14C20', '14E07', '14D06', '14J28', '14J45', '14J70', '14E15', '14J30']",0.9525936227991185,0.5187086856079489,0.4377700614677463,0.9525936227991185,0.4352856836321869
62,5653480,"['05C80', '60K35']","['60K35', '05C80']","['05C80', '60K35', '82B43', '60C05', '82B27', '60G42', '82C20']","['05C80', '60C05', '68R10', '68U35', '82C44', '94C99', '05C30', '05A15', '05C35', '05C38']",1.1631711630466106,1.0,0.44211410869774026,0.44211410869774026,0.8842282173954805
63,5653481,"['28A78', '28A80']","['28A78', '28A80', '28A99']","['28A78', '28A80', '37C45', '11K55', '37F35', '60G17', '11J83', '37C70']","['28A80', '28A78', '52B99', '28C10', '28A12', '37C45', '43A05', '28-02', '37D45', '37B99']",1.0,1.0,1.1631711630466106,1.1631711630466106,0.46986580617883633
64,5653482,"['22A22', '20M18', '20M25', '16S36', '06E15', '18B40']","['20M25', '18B40', '20M18', '20N02']","['20M18', '20M05', '20M10', '20M50', '18B40', '20M15', '20M20', '20M17', '20M07', '20M25']","['20M10', '20M15', '20M35', '54-01', '46Exx', '57S05', '57N17', '08-02', '06Exx', '08Bxx']",0.6684958806128976,0.6799269013020518,0.0,0.0,0.31112393966479096
65,5653484,"['13D03', '14B25', '13D09']","['13D03', '14M05', '19D55']","['13D03', '14B25', '13D09', '16E40', '18G60', '16S80', '16G20', '16W30', '18E30', '20J06']","['13D03', '13C99', '13D02', '13D25', '13E05', '16E10', '18E25', '13D05', '13H10', '13B10']",0.36207489823929484,1.0,0.36207489823929484,0.36207489823929484,0.7938622726991788
66,5653485,"['35B40', '35K65', '35B35', '35K59']","['35K92', '35D30', '35K15']","['35B40', '35K65', '35B35', '35K59', '35L20', '35K50', '35B27', '46B15', '35P05']","['35K55', '35B40', '35B33', '35K65', '35K60', '35B45', '35K15', '35B05', '58J35', '34B15']",0.0,1.0,0.4674286646209383,0.8240877157931812,0.5846049142566465
67,5653486,"['45J05', '45G10', '45M20']","['34E15', '34B15', '45K05', '47H14']","['45G10', '65R20', '47H30', '47J25', '45G05', '65J15', '58E05', '47H09', '35J65', '35C15']","['35L65', '90B20', '35L80', '35Q35', '35F30', '35-02', '35L60', '35R09', '45K05', '45M20']",0.0,0.7241497964785897,0.10466311757360869,0.0,0.27465838751954297
68,5651180,"['34F05', '34C11', '70L05']","['34F15', '34D20', '70L05', '93E15']","['35B40', '11D41', '11D79', '34C11', '35Q92', '92C17', '35B45', '35Q35', '35B65', '35L10']","['34C11', '15A99', '34A30', '34D99', '34H05', '70-01', '70-02', '58-01', '74-01', '76-01']",0.18103744911964742,0.3118743418769471,0.7241497964785897,0.7241497964785897,0.2413832654928632
69,5651181,"['34C60', '34E10', '34E20', '76N99', '34C37']","['35Q35', '35B25', '35L65', '76H05', '76M45', '76N10', '76N15']","['35Q74', '74K20', '76N15', '82C70', '76S05', '76P05', '82C40', '35Q35', '34C60', '34E10']","['76L05', '76M99', '35-01', '35-02', '35L65', '35L67', '76H05', '37C75', '34C30', '34C25']",0.0,0.2456172490969907,0.0,0.0,0.22378959766824852
70,5651184,"['34C25', '34B18', '34B16']","['34C25', '34B16', '34B18', '82B10']","['34B15', '34B10', '65L10', '65L12', '34B24', '34K13', '34C14', '34A12', '70B05', '70B10']","['34C25', '34D20', '34B15', '34-02', '34C15', '76T99', '82B20', '82B21', '82B40', '78A99']",0.9525936227991185,0.0,0.36207489823929484,0.0,0.09784645226464664
71,5651185,"['34A60', '34B15', '34B40', '47H04']","['34A60', '34B40', '47H04']","['34A60', '34C30', '34B15', '34B40', '47H04']","['34B40', '34A60', '34B15', '34G25', '47H04', '54C60', '47H10', '55-02', '37B25', '47H05']",0.667472413793101,0.8825364248835933,0.9452618542624144,1.1156040962073006,0.4639928935359096
72,5651186,"['34D09', '34D20', '34D08']","['34D09', '37C75', '37D25']","['34D20', '93D20', '93D30', '34K20', '93C10', '93D05', '34K45', '34A37', '39A12', '34K25']","['37-02', '37D25', '37A30', '37D10', '37A20', '34G10', '34D20', '34D08', '37C75', '34D05']",0.36207489823929484,0.7241497964785897,0.35560517865312763,0.7241497964785897,0.40045616201859213
73,5651187,"['35B25', '35K57', '35J61', '35J25']","['35J91', '35B25']","['35J25', '35L20', '35B40', '35B41', '35B45', '35B05', '35J65', '92D25', '35L70', '35D30']","['35J65', '47H10', '35B50', '35J25', '35B20', '34B99', '34E10', '65N15', '65N06', '65N30']",0.1976265077928601,0.3132306040001605,0.13490107841403912,0.1976265077928601,0.07373727612085355
74,5655731,"['11G05', '14G05', '11R34']","['11G05', '14G05']","['11G05', '14G05', '11R34', '14H52', '11G20', '11G07', '94A60', '11G40']","['14G05', '14L99', '14H52', '11G05', '14H25', '11R34', '14G25', '20G30', '14L35', '11R99']",0.8189625508803525,1.0,1.0090606484413058,0.9525936227991185,0.9168090031449991
75,6039122,"['42B30', '46E15']","['42B35', '46E30']","['42B30', '42B20', '42B25', '30D55', '32A35', '42B35', '47B33', '46E30', '30H10', '47B38']","['46E35', '42B35', '42B25', '42C40', '47B37', '47B38', '42B15', '42B20', '35J05', '26A15']",0.0,0.44211410869774026,0.0,0.0,0.12332461179407149
76,6039123,"['30H05', '46J15', '30J10']","['30H50', '30J05', '30J10', '46J15']","['30D50', '30J10', '30H10', '47B35', '30E05', '46J15', '30J05', '30D55', '46E15', '30D05']","['30D50', '30D55', '46J15', '30H05', '47A15', '30E10', '42A50', '30E05', '47B35', '19B10']",0.49291179099659455,0.48639118836901407,0.5180120691777684,0.2801393816260644,0.6831820381719744
77,6039126,"['46L37', '46L36', '46L54', '57M20']",['46L10'],"['46L37', '18D10', '46L05', '46M15', '57M27', '17B10', '81R05', '57R56', '20G42', '57M99']","['46L35', '46L55', '46L54', '15B52', '46L37', '46L36', '46L09', '46L10', '46L40', '20F36']",0.0,0.3132306040001605,0.5009394252034013,0.3132306040001605,0.4392105679419768
78,6039127,"['47B33', '46E15']","['47B33', '30H20']","['47B33', '46E15', '47B38', '30H05', '47A16', '30H30', '30H10', '47A12']","['47B33', '47B38', '47-02', '46E10', '47A10', '46E15', '30D55', '30-02', '47L05', '47L25']",0.44211410869774026,1.0,0.7570825547777251,1.1052852717443507,0.3661278032612353
79,6039128,"['43A80', '22E30', '58J35']","['58J35', '35B40', '35H10', '35K08', '43A60']","['43A80', '22E30', '58J35', '47D03', '47B25', '47D06', '41A80']","['58J35', '43A80', '58J37', '53D10', '53C17', '53A55', '35H20', '22E25', '58J99', '60H99']",0.36207489823929484,1.0,0.5905187245598237,0.5905187245598237,0.48264895146431974
