,de,mscs,keyword_mscs,refs_mscs,keywords_DCG,refs_DCG
62,1211653,"['20G05', '20G40']","['20G05', '20G40', '43A07', '43A15', '03G12', '81P10', '22E45', '32M10', '81R30', '37J99']","['20G05', '20G40', '20C15', '14L35', '22E25', '43A15', '43A80', '43A50', '22A25', '22E27']",,
63,1211654,"['16W30', '06A15', '12F10']","['16W30', '06A15', '12F10']","['16H05', '16W30', '16W20', '16L60', '17A70', '17B70', '17B35', '13B05', '12F10', '16D90']",1.0,0.0
64,1211655,"['20D20', '20D15', '20D60']","['20D20', '20D15', '20D10', '20D40', '20D60', '20E28']","['20-02', '20Cxx', '20Dxx', '17B20', '17B25', '20-04', '20D08', '20D05', '20D06', '20D30']",1.0,0.0
65,1211656,"['16G20', '16G60', '16G70', '06A06']","['16G60', '16G20', '16D90', '16G70', '06A06', '74S30', '74H45', '65Z05', '16G10', '18E10']","['20K15', '20K40', '16H05', '16G30', '16S50', '20K25', '20K01', '16G20', '16Gxx', '16P10']",0.25,0.0
66,1211657,['17B69'],"['17B68', '17B65', '17B67', '17B10', '81R10', '81T40', '17B69', '22E65', '17B81', '17B70']","['17B67', '17B69', '20D08', '17B65', '81T40', '58J90', '17B10', '81R10', '52C17', '52-02']",,
67,1211659,"['16W80', '16D90']","['16W80', '16D90', '16Nxx', '16P20', '16L30', '16D40', '16S50', '16G10']","['16D90', '16S50', '16Gxx', '16L30', '16P10', '16-01', '13-01', '12-01', '18-01', '16-02']",,
68,1211660,"['20F14', '08A30']","['20F14', '20F05', '20E07', '20E05', '20C07', '16S34', '20F12', '20D15', '20F19', '20F18']","['05D10', '05E99', '11B25', '37B05', '54H20', '20-01', '16S34', '16-02', '20C05']",,
69,1211661,"['20G05', '20G40']","['20G05', '20G15', '20G40', '22E46', '20G10', '22E50', '20M20', '20G20', '14L30', '11E72']","['20G05', '20G40', '14F20', '20G10', '20C33', '20-02', '14C17', '14F99', '20G15', '14F30']",,
70,1211662,['12F12'],"['12F12', '55S35', '57R22', '58A30', '57R90', '18G50', '17B56', '12F10', '53D17']","['11R32', '12F10', '12G05', '20F29', '20C30', '11E04', '11E57', '11S15', '57R20', '20G05']",,
71,1211663,"['16S36', '15A72', '15A69', '15A78', '16W50']","['68Q42', '03B40', '03D03', '68Q65', '68T15', '34M40', '03B35', '68N01', '03D40', '68Q55']","['16Exx', '13D03', '55S10', '16E40', '16W50', '18G10', '14F05', '13D25', '17B10', '17B35']",0.0,0.0
72,1211664,"['16H05', '11R33', '16W30', '11R29']","['16H05', '11R33', '16W30', '11R29', '11S45', '11S15', '54H20', '28D20', '11R04']","['16H05', '16W30', '16S34', '16W20', '11S45', '13D03', '16E40', '11R33', '11G05', '14L15']",0.8154648767857288,0.6666666666666666
73,1211665,"['20E06', '20E26', '20F18']","['20E06', '20E26', '20F28', '20F65', '57M07', '20F18', '20E36', '20F16', '20F10', '05C25']","['20E15', '20-02', '20E26', '20E06', '20F18', '20D15', '20F14', '20F05', '20F06']",1.0,0.6309297535714575
74,1211666,"['16N80', '16N60']","['16N80', '16N60', '16R50', '16W25', '16R20', '16W20', '16W10', '16D70']","['16D90', '16N60', '16S50', '16Nxx', '16N40', '16-02', '16R50', '16W25', '16W20', '17A30']",,
75,1211729,"['17B67', '17B10', '17A70', '17B20']","['17B67', '17B10', '17B37', '81T40', '81R10', '17B65', '16G20', '37J35', '35Q99', '17A70']","['17B65', '17B67', '17B10', '17B20', '17B05', '17B70', '11F22', '17A70']",0.5,0.31546487678572877
76,1211730,"['22E10', '32M05', '37J99']","['53C30', '22E46', '22E15', '22E30', '22E45', '22E65', '22E60', '53C15', '22E25', '32M05']","['32E10', '32M05', '22E10']",0.0,1.0
77,1212285,"['65N06', '65F10', '65N12', '35J25']","['65N06', '65F10', '65N12', '35J25', '65M06']","['65N55', '65N12', '65N30', '76S05', '76M10', '35J25', '76M20', '76R50', '86A10', '91B62']",0.8154648767857288,0.5
78,1212286,"['76M25', '76X05']","['76M25', '76X05', '35Q35', '76D05', '76M99', '76B47', '76R10', '80A20', '76M20']","['76B47', '65Z05', '76-02', '76M99', '65K05', '65-02', '90C30', '65H10', '90-04']",,
79,1212293,"['92C40', '92D15', '62P10']","['92C40', '92D15', '62P10', '60E05', '62E10', '60G51']","['92D20', '92D15', '62P10']",1.0,1.0
80,1212301,"['65N50', '65N30', '35J05', '65D07', '65N35']","['41A15', '65D07', '41A05', '65D05', '65D17', '65L10', '65D15', '41A63', '65L60', '34B15']","['76M25', '76F10', '65D25', '65M06', '76N10', '76M99', '41A15', '41-02', '41A10', '65-02']",0.3333333333333333,0.0
81,1212304,"['76M10', '76S05', '76R99', '80A20']","['44A10', '65R10', '26A33', '35A22', '91B30', '44A15', '47D06', '45K05', '60E10', '76S05']","['65Z05', '65Nxx', '00A06', '76M99', '35Qxx', '65F10', '35Q60', '78A45', '65N06', '65R20']",0.0,0.0
82,1212306,"['76M20', '76L05', '76N15', '76V05']","['76M20', '76L05', '76N15', '76V05', '76N10']","['76M20', '76B15', '35L65', '65Z05', '76N15', '35L50', '65C05', '76F10', '80A25', '76-02']",0.8154648767857288,0.21533827903669653
83,1212310,"['76M20', '76D05', '76F10', '76U05', '65M15']","['76M20', '76D05', '76F65', '80A25', '76F05', '76M99', '76F10', '76U05', '65M15', '76V05']","['76F99', '76-04', '65C20', '76D05', '76M99', '76F10', '76U05', '76M25', '76N10', '65N35']",0.5631801734804518,0.41435333144752123
84,1212311,"['76M23', '76F05', '76D05']","['76M23', '76F05', '76D05']","['76M20', '76D05', '76M25', '76B47', '76F99', '76F10', '65Y05', '76F65', '76M23', '76F05']",1.0,0.0
85,1212313,"['65N35', '65F10', '65F35', '35J05', '65N55']","['65N35', '65F10', '35J25', '35J05', '65N55', '65F35', '65R20', '45C05', '65L10', '34B15']","['74S05', '65D05', '41A05', '41A63', '65N35', '65N30', '35J25', '76M25', '76D05', '65F10']",0.6289509357448472,0.0
86,1212344,"['35L75', '35B40', '35L35']","['35B41', '37L30', '35B40', '35K57', '37C70', '34D45', '39A11', '39A20', '35K55', '35Q30']","['35A35', '35A15', '47H20', '46E35', '35G20', '74Hxx', '58D07', '35G10', '35K25', '35K55']",0.6309297535714575,0.0
87,1212345,"['78A25', '35Q60', '82D55']","['35B65', '35D10', '49N60', '35R35', '35J60', '35Q30', '35J70', '58E20', '35K55', '35Q35']","['46E35', '35Q60', '78A35', '35D05', '35K05', '35G20', '35A05', '35B40', '35Q99', '35K55']",0.0,1.0
88,1212346,"['37C15', '37C20']","['37C15', '37C20']","['34A25', '34A30', '37C10', '37G05', '37D99']",,
89,1212347,"['35R10', '35K40', '35R15']","['35R10', '35K40', '35R15', '35L70', '47H20', '34K37', '47N20']","['34K99', '34C25', '34G10', '34K05', '34K30', '34G20', '34C23', '34K40', '34A12', '47H20']",1.0,0.0
90,1212348,"['35Q53', '35Q55', '76B15']","['35Q55', '76B15', '35Q53', '35Q35', '35R35', '35Q30', '35G25', '37K10', '35Q99']","['35-02', '35A22', '35P25', '35Q99', '35G10', '35K25', '35J10', '76B25', '35Q58', '35K55']",0.0,0.0
91,1212349,"['35K25', '35B05']","['35K25', '35B05']","['35K10', '35B40', '35B05', '35J65', '35B65', '35R35', '35B60', '35J30', '35K25', '35J45']",,
92,1212355,"['35P30', '35J20', '35J60', '35B32']","['35P30', '35J20', '35J60', '35B32']","['35P05', '35J15', '35B30', '35B50', '35J60', '35B65', '35A05', '53-01', '53A05', '53A10']",0.8154648767857288,0.21533827903669653
93,1212362,"['76S05', '76M50', '76M35', '76D07']","['76S05', '76M50', '76M35', '76D07', '35B27', '78M40', '35Q60', '35B40', '78A25']","['76S05', '76D07', '35Q30', '35B27', '35B40', '35J25', '35R05', '60H15', '35J55', '60-01']",0.8154648767857288,0.0
94,1212367,"['35K40', '35B40', '35B35', '35K55']","['35B40', '35B35', '47D06', '74F05', '35K55', '35L70', '35L05', '35L20', '74K10', '35K40']","['35K55', '35B05', '35B40', '76E99', '76V05', '80A25', '60J65', '60J80', '35Q55', '35G10']",0.5,0.31546487678572877
95,1216997,"['34G20', '34A60', '47E05', '47H05']","['34G20', '34A60', '47E05', '47H05', '35Q30', '35Q35', '35A05', '76D03', '35D35']","['49-02', '49J45', '90C25', '26A24', '47H05', '46B99', '49J27', '47H20', '35K55', '47J05']",0.8154648767857288,0.0
96,1216998,"['35L60', '35L80']","['22E50', '34C20', '03D25', '03D30', '37J40', '15A21', '68Q15', '03D15', '47A10', '11C08']","['35Q35', '35G20', '35L75', '35L67', '58J60', '81T10', '58J90', '58-02', '35Q58', '81T40']",,
97,1216999,"['37B10', '37F20']","['37E40', '39B12', '65L05', '34C27', '37J40', '37J10', '37F10', '37E99', '39A20', '37E45']","['30D05', '30D20', '37F10', '37G99', '37B99', '54H20', '37D99', '37F99', '37J99', '37C75']",,
98,1217000,"['26B30', '26A39']","['26B30', '26A39', '26B20', '26B15', '26A42', '26D10', '40A10']","['26A45', '26A39', '26B30', '28A75', '49Q15', '58C35', '49J45', '35D10', '49J20', '26B25']",,
99,1217001,['39A10'],"['39A10', '39A06', '39A11', '39A22', '39A12', '39A21', '65Q05', '65D30', '46A45', '30D35']","['34A30', '34A25', '39A05', '39A12', '30D05', '30E10', '39B32', '39A10', '05A15', '65N22']",,
100,1217002,"['39A12', '39A10']","['39A10', '39A11', '39A12', '39A20', '39A30', '34B15', '33C45', '39A22', '92D25', '39A70']","['39A12', '39A10', '34K99', '34K40', '34C10', '34-02']",,
101,1217003,"['34G10', '47D03', '47E05']","['15A04', '47A10', '47D03', '15A60', '15A03', '15B57', '16S50', '47A75', '43A65', '47A05']","['47D03', '47B60', '46B42', '44A10', '34G10', '47D06', '47G10', '34-02', '34A30', '34C20']",0.6309297535714575,0.0
102,1217013,['37J99'],"['37J40', '37K55', '70H08', '37J99', '35Q55', '34C27', '37N10', '35B10', '37C55', '35Q53']","['37J40', '37J99', '70H33', '70K43', '70F10', '37G05', '34C20', '70K05', '37G15', '34C27']",,
103,1217020,"['35L75', '35L35', '35D05', '74H45', '74K20']","['35L75', '35L35', '35D05', '74H45', '74K20']","['46E35', '46E30', '46E40', '46-02', '35L35', '35B40', '74H45', '35L75', '37C70', '74K20']",0.7103099178571526,0.26229458172713843
104,1217021,"['35A08', '35A20', '45B05']","['35A08', '35A20', '45B05', '65R20', '35J05', '35J25']","['00A69', '15-01', '33-01', '45-01', '49-01', '34-01', '35-01', '35R30', '92C55', '44A12']",1.0,0.0
105,1217022,"['35R10', '34K40']","['34G20', '45N05', '45J05', '47D06', '60H15', '34G10', '34A08', '45G10', '60H10', '34K30']","['93D15', '70Q05', '93C85', '70B15', '34K05', '34-02', '34K99', '34K10', '34K20', '45J05']",,
106,1217023,"['60F17', '60G60', '60B12', '62G99']","['60F17', '60G60', '60B12', '62G99', '62G10', '62M07']","['60F05', '60F17', '60B12', '60F15', '60B10', '60B05', '62G05', '62M10', '60J05', '60J10']",0.8154648767857288,0.31546487678572877
107,1217024,"['35R10', '34K30']","['35R10', '34K30', '34C25', '37G99', '92D25', '74F10', '74H45', '74K20']","['34K30', '34K20', '35R10', '35B10', '34K40', '47D03', '47-02', '47F05', '47H20', '47H10']",,
108,1217025,"['43A90', '41A58']","['43A90', '41A58', '15B57', '15A86', '15A04', '15B48', '26A51', '42A82']","['22E30', '43A85', '43A10', '22E45', '17A15', '33C80', '44A15', '32M15', '46E20', '46E22']",,
109,1217026,['33C45'],"['33C45', '33C10', '42C05', '33C20', '30C15', '30E15', '46A35', '46A11', '46E10', '46A04']","['41A17', '32C25', '26-02', '26C05', '26C10', '26D05', '30-02', '12-02', '41-02', '42-02']",,
110,1217027,"['35B25', '76M45', '76D10']","['34E15', '35B25', '65L10', '65L12', '34B05', '65L20', '34B15', '65L70', '65L50', '35J25']","['37C75', '70J25', '35P05', '35Jxx', '47A10', '47F05', '76E99', '76D05', '76E30', '76U05']",0.0,0.0
111,1217029,"['65T40', '18A05', '65Y05', '42C15', '65M60', '65M55']","['65T40', '18A05', '65Y05', '42C15', '65M60', '65M55', '76M12', '76V05', '76N15', '20M50']","['42C40', '65T60', '41A15', '41A63', '65D15', '65M06', '28A80', '28-01', '42-01', '18-01']",0.6404015779112127,0.0
112,1217031,"['35B10', '35B50']","['35B10', '35B50', '35K55', '65M12', '65M06', '45J05', '35J65', '35K50', '65M55']","['47H10', '46A40', '47B60', '47J05', '54H25', '35J65', '35P15', '35J25', '35B50', '35Q55']",,
113,1217032,"['60F99', '42A16']","['60F99', '42A16']","['42A20', '42A16', '60-01', '30B10']",,
114,1217033,"['42B15', '46E35', '42B20', '42B30']","['42B15', '46E35', '42B20', '42B30', '42B35']","['42B20', '42B30', '46E35', '22E30']",0.8154648767857288,0.31546487678572877
115,1217037,"['35J60', '47F05', '35B65']","['35J25', '47F05', '46E35', '35Q30', '31B10', '35B65', '35Q60', '78A45', '42B20', '58J32']","['35P30', '35J60', '35J70', '35K55', '35B99', '35J65', '35J20', '35R45', '46N20', '35P20']",1.0,0.0
