0;Keyword Entity Name;QID SPARQL;Score SPARQL;QID Pywikibot;Score Pywikibot;QID Benchmark;Score Benchmark;Comment;;;;
31;algebraic geometry;Q180969;2;Q180969;2;Q180969;2;;;;;
32;riemann;N/A;0;N/A;0;Q28745080;2;;;;;
33;complex function;Q64952105;2;N/A;2;Q64952105;2;"semantically ""complex function"" and ""complex-valued function"" (Q64952105) are closely matching";;;;
34;eigenvalue linear control system;N/A;;N/A;;N/A;0;"""eigenvalue linear control system"" does not exist in wikidata and wikipedia. But google redirects to ""https://en.wikibooks.org/wiki/Control_Systems/Eigenvalues_and_Eigenvectors"".";;;;
35;schwartz form;N/A;;N/A;;N/A;0;"""schwartz form"" does not exist in wikidata and wikipedia.";;;;
36;root locus technique;N/A;;N/A;;Q957693;1;Please check.;;;;
37;polynomial;Q43260;2;Q43260;2;Q43260;2;;;;;
38;height;Q190200;1;Q208826;2;Q208826;2;"(Q190200) refers to ""altitude"" and (Q208826) refers to ""height"".";;;;
39;elliptic mahler measure;N/A;;N/A;;Q6734205;1;"""elliptic mahler measure"" does not exist in wikidata and wikipedia. ";;;;
40;`` lehmers problem '';N/A;;N/A;;Q6518929;1;https://en.wikipedia.org/wiki/Lehmer%27s_conjecture;;;;
41;entropy;Q12727673;2;Q45003;2;Q45003;1;2;2;both correct;one statistics;other physics
42;lfunctions;N/A;;N/A;;Q1789063;2;https://en.wikipedia.org/wiki/L-function;;;;
43;elliptic curve;Q268493;2;Q268493;2;Q268493;2;;;;;
44;liberal art;N/A;;N/A;;Q1377182;1;;;;;
45;mathematical education;N/A;;N/A;;N/A;0;"""mathematical education"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""mathematical education"" with QID for ""scholarly article"".";;;;
46;classification mathematics;N/A;;N/A;;Q967960;1;;;;;
47;prague;N/A;0;Q1085;2;Q1085;2;;;;;
48;kepler;N/A;;N/A;;Q16277846;2;changed to family from the name of scientist;;;;
49;galileo;Q500515;0;N/A;0;Q3757616;2;changed to family from the name of scientist;;;;
50;tycho brahe;N/A;;N/A;;Q36620;2;;;;;
51;solomon delmedigo;N/A;;N/A;;Q969675;1;;;;;
52;david gans;N/A;;N/A;;Q1174512;2;"Several wikidata items exist for ""david gans"".";;;;
53;astronomy;N/A;0;Q333;2;Q333;2;;;;;
54;mathematics;Q395;2;Q395;2;Q395;2;;;;;
55;hilbert;N/A;;N/A;;Q21450555;2;"(Q16427731) refers to ""Hilbert"", male given name.";;;;
56;kinetic theory;Q200286;2;Q25100325;0;Q200286;2;(Q25100325) refers to disambiguation page.;;;;
57;radiation theory;N/A;;N/A;;Q60080067;2;"Refers to ""scientific article published in Nature"".";;;;
58;spectral theory;Q2409122;2;Q2409122;2;Q2409122;2;;;;;
59;maximum principle;N/A;0;Q1914255;2;Q1914255;2;"for ""maximum principle"" perfect wikipedia page is exist. But corresponding wikidata page is empty.";;;;
60;fluid flow;N/A;;N/A;;Q28195494;2;Please see https://www.wikidata.org/wiki/Q59003687;;;;
61;poincaré;N/A;0;Q21448108;2;Q21448108;2;"(Q21448108) refers to family name ""poincaré"" and (Q81082) refers to Henri Poincaré, French mathematician, physicist.";;;;
62;hilbert program;N/A;0;N/A;0;Q968548;2;"Original wikidata item has ""Hilbert's program"" instead of ""hilbert program"".";;;;
63;bernstein;N/A;0;Q21660706;2;Q21660706;2;"(Q21660706) refers to family name ""bernstein"". (Q77523) refers to ""Felix Bernstein"" German Jewish mathematician and (Q370530) refers to ""Joseph Bernstein"" Russian mathematician.";;;;
64;elliptic equation;N/A;0;Q107440094;2;Q107440094;2;;;;;
65;lerayschauder theory;N/A;;N/A;;Q1662850;1;"""https://de.wikipedia.org/wiki/Leray-Schauder-Alternative"" redirects to wikidata item without ""label defined"" but with QID (Q1662850). If we set translation ON in the browser ""Leray-Schauder"" changes to ""Leray shudder"". ";;;;
66;hadamard;N/A;;N/A;;Q63726823;2;;;;;
67;sobolev space;N/A;0;Q1501536;2;Q1501536;2;;;;;
68;schwartz theory distribution;N/A;;N/A;;Q865811;1;Please see https://en.wikipedia.org/wiki/Distribution_(mathematics);;;;
69;hilbert space method;N/A;;N/A;;Q190056;1;"""hilbert space method"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""hilbert space method"" with QID for ""scholarly article"".";;;;
70;calderonzygmund theory;N/A;;N/A;;Q1707076;1;"""calderonzygmund"" can be corrected to ""Calderón–Zygmund"".";;;;
71;hilleyosida theory;N/A;;N/A;;Q974405;1;Please see https://en.wikipedia.org/wiki/Hille%E2%80%93Yosida_theorem;;;;
72;degiorginash estimate;N/A;;N/A;;N/A;0;"""degiorginash estimate"" does not exist in wikidata and wikipedia. ""degiorginash estimate"" can be corrected to ""The De Giorgi-Nash-Moser Estimates"".";;;;
73;gas dynamic;N/A;;N/A;;Q1144718;2;;;;;
74;nonlinear functional analysis;Q7049475;2;Q7049475;2;Q7049475;2;;;;;
75;differential geometry;Q188444;2;Q188444;2;Q188444;2;;;;;
76;quadratic form;Q736753;2;Q736753;2;Q736753;2;;;;;
77;positive definite ternary form;N/A;;N/A;;N/A;0;"""positive definite ternary form"" does not exist in wikidata and wikipedia.";;;;
78;reduction;Q7306360;2;Q225229;2;Q7306360;2;;;;;
79;asymptotic distribution;N/A;0;Q12345341;2;Q12345341;2;;;;;
80;aadic integer;N/A;0;N/A;0;Q311627;1;"""aadic integer"" does not exist in wikidata and wikipedia. ""aadic"" can be corrected to ""p-adic "". Please see https://en.wikipedia.org/wiki/P-adic_number";;;;
81;uniformly distributed sequence modulo 1;N/A;0;N/A;0;N/A;0;"""uniformly distributed sequence modulo 1"" does not exist in wikidata and wikipedia. ";;;;
82;approximate functional equation;N/A;0;N/A;0;N/A;0;"""approximate functional equation"" does not exist in wikidata and wikipedia. ";;;;
83;remainder;Q846677;2;Q846677;2;Q846677;2;;;;;
84;multiplicative function;Q1048447;2;Q1048447;2;Q1048447;2;;;;;
85;arithmetic progression;Q170008;2;Q170008;2;Q170008;2;;;;;
86;bruntitchmarsh theorem;N/A;;N/A;;Q4979609;2;"""bruntitchmarsh"" can be corrected to ""Brun–Titchmarsh"".";;;;
87;monotone difference scheme;N/A;;N/A;;N/A;0;"""monotone difference scheme"" does not exist in wikidata and wikipedia. ";;;;
88;anisotropic driftdiffusion equation;N/A;;N/A;;N/A;0;"""anisotropic driftdiffusion equation"" does not exist in wikidata and wikipedia. ""driftdiffusion"" can be corrected to ""drift diffusion"".";;;;
89;rotated upwind discretization;N/A;;N/A;;N/A;0;"""rotated upwind discretization"" does not exist in wikidata and wikipedia.";;;;
90;algorithm;Q8366;2;Q8366;2;Q8366;2;;;;;
91;oscillationfree solution;N/A;;N/A;;N/A;0;"""oscillation free solution"" does not exist in wikidata and wikipedia. ""oscillationfree"" can be corrected to ""oscillation free"".";;;;
92;iterative method;Q2321565;1;Q2321565;1;Q2321565;2;"I feel iterative method can be anything apart from ""numerical"".";;;;
93;numerical example;N/A;;N/A;;N/A;0;"""numerical example"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""numerical example"" with QID for ""scholarly article"". ";;;;
94;software package homesh;N/A;;N/A;;N/A;0;;;;;
95;hybrid triangular linear element;N/A;;N/A;;N/A;0;;;;;
96;hybrid 6 quadrilateral quadratic element;N/A;;N/A;;N/A;0;;;;;
97;automatic generation highorder finite element;N/A;;N/A;;N/A;0;"""automatic generation highorder finite element"" can be corrected to ""automatic generation high order finite element"".";;;;
98;twodimensional hyperbolic grid generator;N/A;;N/A;;N/A;0;"""twodimensional hyperbolic grid generator"" can be corrected to ""two dimensional hyperbolic grid generator"".";;;;
99;quadrilateral quadratic element;N/A;;N/A;;Q48969845;2;;;;;
100;geodesic curve;Q213488;1;N/A;0;Q213488;2;(Q213488) refers to geodesic.;;;;
101;distortion measure;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
102;inverse mapping;Q191884;2;N/A;0;Q191884;2;;;;;
103;isoparametric quadrilateral hybrid stress four eightnode element;N/A;;N/A;;Q191884;2;;;;;
104;geometrically exact beam finite strain formulation;N/A;;N/A;;N/A;0;;;;;
105;abstract infinitedimensional manifold mapping;N/A;;N/A;;N/A;0;;;;;
106;configuration space;Q41636387;2;Q41642869;2;Q41636387;2;"(Q41636387) refers to ""configuration space"" in mathematics and (Q41642869) disambiguation page.";;;;
107;linearization algorithm;N/A;;N/A;;N/A;0;;;;;
108;hybrid stress membrane element curved boundary;N/A;;N/A;;N/A;0;;;;;
109;eightnode isoparametric element;N/A;;N/A;;N/A;0;;;;;
110;geodesic coordinate;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But FOUR wikidata items exist which contain keyword entity name with QID for ""scholarly article"". I do not consider https://en.wikipedia.org/wiki/Normal_coordinates#Geodesic_normal_coordinates";;;;
111;generalized taylor series method;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But ONE wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
112;characteristic euler flux resolution;N/A;;N/A;;N/A;0;;;;;
113;subgrid embedded highdegree lagrange base static condensation;N/A;;N/A;;N/A;0;;;;;
114;assembledstencil fourier analysis optimization;N/A;;N/A;;N/A;0;;;;;
115;steady convectiondiffusion;N/A;;N/A;;N/A;0;;;;;
116;unsteady convection;N/A;;N/A;;N/A;0;;;;;
117;monotone method;N/A;;N/A;;N/A;0;;;;;
118;laplace transform;N/A;0;Q199691;2;Q199691;2;;;;;
119;convectiondiffusion equation;N/A;;N/A;;Q343279;2;"""convectiondiffusion equation"" can be corrected to ""convection–diffusion equation"".";;;;
120;firstorder kinetics;N/A;;N/A;;N/A;0;"""first order kinetics"" does not exist in wikidata. Please see https://en.wikipedia.org/w/index.php?title=First_order_kinetics&redirect=no";;;;
121;integrodifferential approach;N/A;;N/A;;N/A;0;"""integro-differential approach"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name ""integro-differential approach"" with QID for ""scholarly article"". ""integrodifferential approach"" can be corrected to ""integro-differential approach"".";;;;
122;preconditioned projection;N/A;;N/A;;N/A;0;"""preconditioned projection"" does not exist in wikidata and wikipedia.";;;;
123;shape memory material;N/A;;N/A;;Q98108610;2;;;;;
124;micromechanical model;N/A;;N/A;;N/A;0;"""micromechanical model"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""micromechanical model"" with QID for ""scholarly article"".";;;;
125;pragertype criterion;N/A;;N/A;;Q421507;1;"""prager type criterion"" does not exist in wikidata and wikipedia. Please see https://en.wikipedia.org/wiki/Drucker%E2%80%93Prager_yield_criterion";;;;
126;belleville washer electrical contract;N/A;;N/A;;N/A;0;"""belleville washer electrical contract"" does not exist in wikidata and wikipedia.";;;;
127;medical instrument noninvasive surgery;N/A;;N/A;;N/A;0;"""medical instrument non invasive surgery""";;;;
128;error indicator;N/A;;N/A;;N/A;0;"""error indicator"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""error indicator"" with QID for ""scholarly article"". ";;;;
129;error estimator;N/A;;N/A;;N/A;0;"""error estimator"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""error estimator"" with QID for ""scholarly article"". ";;;;
130;contact area;Q5164821;2;Q5164821;2;Q5164821;2;;;;;
131;automatic mesh refinement;N/A;;N/A;;Q4680751;1;Please check.;;;;
132;bsplines;N/A;;N/A;;Q2083109;2;;;;;
133;mesh embedding;N/A;;N/A;;N/A;0;"""mesh embedding"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""mesh embedding"" with QID for ""scholarly article"". ";;;;
134;galerkin method;N/A;0;Q1491980;2;Q1491980;2;;;;;
135;poisson equation;N/A;;N/A;;Q827688;2;"expected name ""Poisson's equation""";;;;
136;collocation;Q1122269;2;Q1122269;2;Q1122269;2;;;;;
137;advection equation;N/A;;N/A;;Q379788;2;Please see https://en.wikipedia.org/wiki/Advection#The_advection_equation;;;;
138;galerkin boundary element method;N/A;;N/A;;Q1491980;1;;;;;
139;linearly elastic isotropic threedimensional solid;N/A;;N/A;;N/A;0;"""linearly elastic isotropic three dimensional solids"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""linearly elastic isotropic three dimensional solids"" with QID for ""scholarly article"". ";;;;
140;displacement integral equation;N/A;;N/A;;N/A;0;"""displacement integral equation"" does not exist in wikidata and wikipedia.";;;;
141;traction integral equation;N/A;;N/A;;N/A;0;;;;;
142;cracktip element;N/A;;N/A;;N/A;0;;;;;
143;porous viscoplastic solid;N/A;;N/A;;N/A;0;;;;;
144;finite strain;N/A;;N/A;;Q15300737;1;;;;;
145;material strain;N/A;;N/A;;Q2353244;1;;;;;
146;strainrate hardening;N/A;;N/A;;N/A;0;"""strain rate hardening"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name ""strain rate hardening"" with QID for ""scholarly article"". ";;;;
147;thermal softening;N/A;;N/A;;N/A;0;"""thermal softening"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""thermal softening"" with QID for ""scholarly article"".";;;;
148;adiabatic heating;N/A;;N/A;;Q182453;1;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
149;critical void volume fraction criterion;N/A;;N/A;;N/A;0;;;;;
150;finite element semidiscretization;N/A;;N/A;;N/A;0;finite element semi discretization;;;;
151;explicit central difference scheme;N/A;;N/A;;N/A;0;;;;;
152;direct differentiation approach;N/A;;N/A;;N/A;0;;;;;
153;automatic differentiation software;N/A;;N/A;;Q787371;1;;;;;
154;impact loading;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
155;regularity result;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
156;cowinhegedus model;N/A;;N/A;;N/A;0;;;;;
157;fixed point argument;N/A;;N/A;;Q1422068;1;;;;;
158;adjustable scheme;N/A;;N/A;;N/A;0;;;;;
159;six implicitness parameter;N/A;;N/A;;N/A;0;;;;;
160;static equilibrium nonneutral plasma column;N/A;;N/A;;N/A;0;;;;;
161;stream function;N/A;0;Q2029236;2;Q2029236;2;;;;;
162;`` laplace equation '';N/A;;N/A;;Q339444;2;;;;;
163;boundary potential;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
164;acoustic oscillation flattening;N/A;;N/A;;N/A;0;;;;;
165;bunsen flame;N/A;;N/A;;N/A;0;;;;;
166;viscous term;N/A;;N/A;;N/A;0;;;;;
167;cell interface;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
168;rankinehugoniot condition;N/A;;N/A;;Q1192131;2;;;;;
169;linearized riemann solver;N/A;;N/A;;Q6153788;1;;;;;
170;steady premixed laminar flame;N/A;;N/A;;Q4563566;1;;;;;
171;steady twodimensional channel flow injection;N/A;;N/A;;N/A;0;;;;;
172;lagrangian large eddy simulation;N/A;;N/A;;N/A;0;;;;;
173;filtered vorticity transport equation;N/A;;N/A;;N/A;0;;;;;
174;subfilter scale velocity;N/A;;N/A;;N/A;0;;;;;
175;vorticity fluctuation;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But some wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
176;dynamic eddy diffusivity model;N/A;;N/A;;N/A;0;;;;;
177;dirac operator;N/A;0;Q907439;2;Q907439;2;;;;;
178;biquaternions;Q2590607;2;N/A;0;Q2590607;2;;;;;
179;electromagnetic potential;N/A;;N/A;;N/A;0;"I assume https://en.wikipedia.org/wiki/Electromagnetic_four-potential is different than ""electromagnetic potential""";;;;
180;quaternionic representation;Q7269569;2;Q7269569;2;Q7269569;2;;;;;
181;decomposition;Q2277040;0;Q339062;2;Q296949;2;"(Q339062) refers to biological to ""decomposition"".";;;;
182;eikonal equation;N/A;0;Q1303846;2;Q1303846;2;;;;;
183;toeplitz family;N/A;;N/A;;N/A;0;;;;;
184;index theory;N/A;;N/A;;N/A;0;"Please check https://encyclopediaofmath.org/wiki/Index_theory . ""keyword entity name"" does not exist in wikidata and wikipedia. But TWO wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
185;kgroup;N/A;;N/A;;Q6322836;2;;;;;
186;spectral flow;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But some wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
187;hilbertschmidt operatorvalued stationary process;N/A;;N/A;;N/A;0;"I search for ""hilbert schmidt operator valued stationary process""";;;;
188;subordination;Q6014822;0;Q1319775;2;Q1319775;2;;;;;
189;spectral measure;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
190;orthogonal projection;Q980329;2;N/A;0;Q519967;1;Please see https://en.wikipedia.org/wiki/Projection_(linear_algebra);;;;
191;spherically symmetric distribution;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
192;elliptically contoured distribution;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But few wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
193;serial covariance;N/A;;N/A;;N/A;0;;;;;
194;moment;Q13222844;2;Q1451745;2;Q13222844;2;(Q13222844) refers to physical quantity and (Q1451745) disambiguation page.;;;;
195;cone;Q22710;2;Q42344;2;Q42344;2;(Q22710) refers to biological term and (Q42344) refers to geometrical shape.;;;;
196;random field;Q5361768;2;Q5361768;2;Q5361768;2;;;;;
197;strong closure;N/A;;N/A;;N/A;0;;;;;
198;feasible state;N/A;;N/A;;N/A;0;;;;;
199;elliptic operator;Q427625;0;Q427625;0;Q427625;2;;;;;
200;system elliptic equation;N/A;;N/A;;N/A;0;;;;;
201;deltarelated operator;N/A;;N/A;;N/A;0;"""deltarelated operator"" can be corrected to ""delta related operator"".";;;;
202;factorization theory;N/A;;N/A;;N/A;0;;;;;
203;generalized inverse;Q370634;2;Q370634;2;Q370634;2;;;;;
204;relation operator matrix;N/A;;N/A;;N/A;0;;;;;
205;delta relation;N/A;;N/A;;N/A;0;;;;;
206;invertibility symbol;N/A;;N/A;;N/A;0;;;;;
207;generalized inversion;N/A;;N/A;;Q370634;2;Not sure about https://www.wikidata.org/wiki/Q370634;;;;
208;singular integral operator carleman shift;N/A;;N/A;;N/A;0;;;;;
209;convolution equation;N/A;;N/A;;Q57822059;1;Please check.;;;;
210;neutral system;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
211;bounded solution;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
212;almost periodic function;Q1066983;2;Q1066983;2;Q1066983;2;;;;;
213;banach space;N/A;0;Q194397;2;Q194397;2;;;;;
214;stokes system;N/A;;N/A;;N/A;0;;;;;
215;maximum modulus theorem;N/A;;N/A;;Q1050230;2;;;;;
216;stokespoisson integral formula;N/A;;N/A;;N/A;0;;;;;
217;weighted function space;N/A;;N/A;;N/A;0;"No exact match on Wikidata. Two similar articles found, ""https://en.wikipedia.org/wiki/Weighted_space"" and ""https://en.wikipedia.org/wiki/Weight_function""";;;;
218;local space;N/A;;N/A;;N/A;0;;;;;
219;solvability property;N/A;;N/A;;N/A;0;;;;;
220;theory stochastic differentiation;N/A;;N/A;;N/A;0;;;;;
221;twoscale convergence;N/A;;N/A;;N/A;0;;;;;
222;darcytype law;N/A;;N/A;;Q392416;1;Please check.;;;;
223;twopressure stokes system;N/A;;N/A;;N/A;0;;;;;
224;cuspidal domain;N/A;;N/A;;N/A;0;;;;;
225;existence;Q1;;Q468777;2;Q468777;2;"unexpected ""Q1"". ";;;;
226;fredholm character;N/A;;N/A;;N/A;0;;;;;
227;unique solvability;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
228;boundary integral equation;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
229;dirichlet problem;N/A;0;Q1192869;2;Q1192869;2;;;;;
230;neumann problem;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"".";;;;
231;integral operator;Q43230999;2;Q43230999;2;Q43230999;2;;;;;
232;continuity;Q16206641;2;Q382618;2;Q382618;2;(Q382618) refers to mathematical continuity.;;;;
233;range;Q46831;1;Q438399;2;Q438399;2;"(Q46831) refers to ""mountain range"" and (Q438399) refers to Wikimedia disambiguation page.";;;;
234;injectivity;N/A;;N/A;;N/A;0;;;;;
235;exterior dirichlet problem;N/A;;N/A;;Q58294791;1;;;;;
236;outward peak;N/A;;N/A;;N/A;0;;;;;
237;stability estimate;N/A;;N/A;;N/A;0;;;;;
238;kontorovichlebedev transform;N/A;;N/A;;Q6430373;2;;;;;
239;macdonald function;N/A;;N/A;;N/A;0;;;;;
240;regularization;Q17143721;2;Q421316;2;Q17143721;2;(Q17143721) regularization in linguistics, replacement of irregular forms by regular ones and (Q421316) refers disambiguation page.;;;;
241;inversion formula;N/A;;N/A;;N/A;0;;;;;
242;lebedevskalskaya transform;N/A;;N/A;;N/A;0;"""lebedevskalskaya transform"" can be corrected to ""Lebedev-Skal'skaya transform"".";;;;
243;fractional brownian motion;N/A;;N/A;;Q1143293;2;;;;;
244;discrete time approximation;N/A;;N/A;;N/A;0;;;;;
245;market area problem;N/A;;N/A;;N/A;0;;;;;
246;set partitioning;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
247;transportation problem;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name with QID for ""scholarly article"". ";;;;
248;transportation flow problem;N/A;;N/A;;N/A;0;;;;;
249;two discontinuity ray;N/A;;N/A;;N/A;0;;;;;
250;nonclassical wave;N/A;;N/A;;N/A;0;;;;;
251;diraccontact wave;N/A;;N/A;;N/A;0;;;;;
252;class linear map operator space;N/A;;N/A;;N/A;0;;;;;
253;pisier vectorvalued noncommutative l^pspaces;N/A;;N/A;;N/A;0;"""pisier vectorvalued noncommutative l^pspaces"" can be corrected to ""pisier vector valued noncommutative lp spaces"".";;;;
254;schatten class;N/A;;N/A;;Q2231600;2;Please check https://de.wikipedia.org/wiki/Schatten-Klasse;;;;
255;pnuclear map;N/A;;N/A;;N/A;0;;;;;
256;banach operator ideal;N/A;;N/A;;N/A;0;;;;;
257;category operator space;N/A;;N/A;;N/A;0;;;;;
258;noncommutative quantized functional analysis;N/A;;N/A;;N/A;0;;;;;
259;w^*algebras;N/A;;N/A;;Q1970172;2;Please check;;;;
260;quantum field theory;Q257189;1;Q54505;2;Q54505;2;;;;;
261;principal bimodules;N/A;;N/A;;N/A;0;;;;;
262;nest algebra;N/A;0;Q6997759;2;Q6997759;2;;;;;
263;closed countably generated bimodules;N/A;;N/A;;N/A;0;;;;;
264;nest element;N/A;;N/A;;N/A;0;;;;;
265;ncategories;N/A;;N/A;;N/A;0;"""keyword entity name"" does not exist in wikidata and wikipedia. Some pages are observed for ""keyword entity name"" in the Google search. Can be corrected to ""n-categories"".";;;;
