;Keyword Entity Name;QID SPARQL;Score SPARQL;QID Pywikibot;Score Pywikibot;QID Benchmark;Score Benchmark;Comment;;;;
79;aadic integer;N/A;0;N/A;0;;;;;;;
80;uniformly distributed sequence modulo 1;N/A;0;N/A;0;;;;;;;
81;approximate functional equation;N/A;0;N/A;0;;;;;;;
82;remainder;Q846677;2;Q846677;2;Q846677;2;;;;;
83;multiplicative function;Q1048447;2;Q1048447;2;Q1048447;2;;;;;
84;arithmetic progression;Q170008;2;Q170008;2;Q170008;2;;;;;
85;bruntitchmarsh theorem;N/A;;N/A;;;;;;;;
86;monotone difference scheme;N/A;;N/A;;;;;;;;
87;anisotropic driftdiffusion equation;N/A;;N/A;;;;;;;;
88;rotated upwind discretization;N/A;;N/A;;;;;;;;
89;algorithm;Q8366;2;Q8366;2;Q8366;2;;;;;
90;oscillationfree solution;N/A;;N/A;;;;;;;;
91;iterative method;Q2321565;1;Q2321565;1;Q2321565;2;"I feel iterative method can be anything apart from ""numerical"".";;;;
92;numerical example;N/A;;N/A;;;;;;;;
93;software package homesh;N/A;;N/A;;;;;;;;
94;hybrid triangular linear element;N/A;;N/A;;;;;;;;
95;hybrid 6 quadrilateral quadratic element;N/A;;N/A;;;;;;;;
96;automatic generation highorder finite element;N/A;;N/A;;;;;;;;
97;twodimensional hyperbolic grid generator;N/A;;N/A;;;;;;;;
98;quadrilateral quadratic element;N/A;;N/A;;;;;;;;
99;geodesic curve;Q213488;1;N/A;0;Q213488;2;(Q213488) refers to geodesic.;;;;
100;distortion measure;N/A;;N/A;;;;;;;;
101;inverse mapping;Q191884;2;N/A;0;Q191884;2;;;;;
102;isoparametric quadrilateral hybrid stress four eightnode element;N/A;;N/A;;;;;;;;
103;geometrically exact beam finite strain formulation;N/A;;N/A;;;;;;;;
104;abstract infinitedimensional manifold mapping;N/A;;N/A;;;;;;;;
105;configuration space;Q41636387;2;Q41642869;2;Q41636387;2;"(Q41636387) refers to ""configuration space"" in mathematics and (Q41642869) disambiguation page.";;;;
106;linearization algorithm;N/A;;N/A;;;;;;;;
107;hybrid stress membrane element curved boundary;N/A;;N/A;;;;;;;;
108;eightnode isoparametric element;N/A;;N/A;;;;;;;;
109;geodesic coordinate;N/A;;N/A;;;;;;;;
110;generalized taylor series method;N/A;;N/A;;;;;;;;
111;characteristic euler flux resolution;N/A;;N/A;;;;;;;;
112;subgrid embedded highdegree lagrange base static condensation;N/A;;N/A;;;;;;;;
113;assembledstencil fourier analysis optimization;N/A;;N/A;;;;;;;;
114;steady convectiondiffusion;N/A;;N/A;;;;;;;;
115;unsteady convection;N/A;;N/A;;;;;;;;
116;monotone method;N/A;;N/A;;;;;;;;
117;laplace transform;N/A;0;Q199691;2;Q199691;2;;;;;
118;convectiondiffusion equation;N/A;;N/A;;;;;;;;
119;firstorder kinetics;N/A;;N/A;;;;;;;;
120;integrodifferential approach;N/A;;N/A;;;;;;;;
121;preconditioned projection;N/A;;N/A;;;;;;;;
122;shape memory material;N/A;;N/A;;;;;;;;
123;micromechanical model;N/A;;N/A;;;;;;;;
124;pragertype criterion;N/A;;N/A;;;;;;;;
125;belleville washer electrical contract;N/A;;N/A;;;;;;;;
126;medical instrument noninvasive surgery;N/A;;N/A;;;;;;;;
127;error indicator;N/A;;N/A;;;;;;;;
128;error estimator;N/A;;N/A;;;;;;;;
129;contact area;Q5164821;2;Q5164821;2;Q5164821;2;;;;;
130;automatic mesh refinement;N/A;;N/A;;;;;;;;
131;bsplines;N/A;;N/A;;;;;;;;
132;mesh embedding;N/A;;N/A;;;;;;;;
133;galerkin method;N/A;0;Q1491980;2;Q1491980;2;;;;;
134;poisson equation;N/A;;N/A;;;;;;;;
135;collocation;Q1122269;2;Q1122269;2;Q1122269;2;;;;;
136;advection equation;N/A;;N/A;;;;;;;;
137;galerkin boundary element method;N/A;;N/A;;;;;;;;
138;linearly elastic isotropic threedimensional solid;N/A;;N/A;;;;;;;;
139;displacement integral equation;N/A;;N/A;;;;;;;;
140;traction integral equation;N/A;;N/A;;;;;;;;
141;cracktip element;N/A;;N/A;;;;;;;;
142;porous viscoplastic solid;N/A;;N/A;;;;;;;;
143;finite strain;N/A;;N/A;;;;;;;;
144;material strain;N/A;;N/A;;;;;;;;
145;strainrate hardening;N/A;;N/A;;;;;;;;
146;thermal softening;N/A;;N/A;;;;;;;;
147;adiabatic heating;N/A;;N/A;;;;;;;;
148;critical void volume fraction criterion;N/A;;N/A;;;;;;;;
149;finite element semidiscretization;N/A;;N/A;;;;;;;;
150;explicit central difference scheme;N/A;;N/A;;;;;;;;
151;direct differentiation approach;N/A;;N/A;;;;;;;;
152;automatic differentiation software;N/A;;N/A;;;;;;;;
153;impact loading;N/A;;N/A;;;;;;;;
154;regularity result;N/A;;N/A;;;;;;;;
155;cowinhegedus model;N/A;;N/A;;;;;;;;
156;fixed point argument;N/A;;N/A;;;;;;;;
157;adjustable scheme;N/A;;N/A;;;;;;;;
158;six implicitness parameter;N/A;;N/A;;;;;;;;
159;static equilibrium nonneutral plasma column;N/A;;N/A;;;;;;;;
160;stream function;N/A;0;Q2029236;2;Q2029236;2;;;;;
161;`` laplace equation '';N/A;;N/A;;;;;;;;
162;boundary potential;N/A;;N/A;;;;;;;;
163;acoustic oscillation flattening;N/A;;N/A;;;;;;;;
164;bunsen flame;N/A;;N/A;;;;;;;;
165;viscous term;N/A;;N/A;;;;;;;;
166;cell interface;N/A;;N/A;;;;;;;;
167;rankinehugoniot condition;N/A;;N/A;;;;;;;;
168;linearized riemann solver;N/A;;N/A;;;;;;;;
169;steady premixed laminar flame;N/A;;N/A;;;;;;;;
170;steady twodimensional channel flow injection;N/A;;N/A;;;;;;;;
171;lagrangian large eddy simulation;N/A;;N/A;;;;;;;;
172;filtered vorticity transport equation;N/A;;N/A;;;;;;;;
173;subfilter scale velocity;N/A;;N/A;;;;;;;;
174;vorticity fluctuation;N/A;;N/A;;;;;;;;
175;dynamic eddy diffusivity model;N/A;;N/A;;;;;;;;
176;dirac operator;N/A;0;Q907439;2;Q907439;2;;;;;
177;biquaternions;Q2590607;2;N/A;0;Q2590607;2;;;;;
178;electromagnetic potential;N/A;;N/A;;;;;;;;
179;quaternionic representation;Q7269569;2;Q7269569;2;;;;;;;
180;decomposition;Q2277040;0;Q339062;2;Q296949;2;"(Q339062) refers to biological to ""decomposition"".";;;;
181;eikonal equation;N/A;0;Q1303846;2;Q1303846;2;;;;;
182;toeplitz family;N/A;;N/A;;;;;;;;
183;index theory;N/A;;N/A;;;;;;;;
184;kgroup;N/A;;N/A;;;;;;;;
185;spectral flow;N/A;;N/A;;;;;;;;
186;hilbertschmidt operatorvalued stationary process;N/A;;N/A;;;;;;;;
187;subordination;Q6014822;0;Q1319775;2;Q1319775;2;;;;;
188;spectral measure;N/A;;N/A;;;;;;;;
189;orthogonal projection;Q980329;2;N/A;0;;;;;;;
190;spherically symmetric distribution;N/A;;N/A;;;;;;;;
191;elliptically contoured distribution;N/A;;N/A;;;;;;;;
192;serial covariance;N/A;;N/A;;;;;;;;
193;moment;Q13222844;2;Q1451745;2;Q13222844;2;(Q13222844) refers to physical quantity and (Q1451745) disambiguation page.;;;;
194;cone;Q22710;2;Q42344;2;Q42344;2;(Q22710) refers to biological term and (Q42344) refers to geometrical shape.;;;;
195;random field;Q5361768;2;Q5361768;2;Q5361768;2;;;;;
196;strong closure;N/A;;N/A;;;;;;;;
197;feasible state;N/A;;N/A;;;;;;;;
198;elliptic operator;Q427625;0;Q427625;0;;;;;;;
199;system elliptic equation;N/A;;N/A;;;;;;;;
200;deltarelated operator;N/A;;N/A;;;;;;;;
201;factorization theory;N/A;;N/A;;;;;;;;
202;generalized inverse;Q370634;2;Q370634;2;Q370634;2;;;;;
203;relation operator matrix;N/A;;N/A;;;;;;;;
204;delta relation;N/A;;N/A;;;;;;;;
205;invertibility symbol;N/A;;N/A;;;;;;;;
206;generalized inversion;N/A;;N/A;;;;;;;;
207;singular integral operator carleman shift;N/A;;N/A;;;;;;;;
208;convolution equation;N/A;;N/A;;;;;;;;
209;neutral system;N/A;;N/A;;;;;;;;
210;bounded solution;N/A;;N/A;;;;;;;;
211;almost periodic function;Q1066983;2;Q1066983;2;Q1066983;2;;;;;
212;banach space;N/A;0;Q194397;2;Q194397;2;;;;;
213;stokes system;N/A;;N/A;;;;;;;;
214;maximum modulus theorem;N/A;;N/A;;;;;;;;
215;stokespoisson integral formula;N/A;;N/A;;;;;;;;
216;weighted function space;N/A;;N/A;;;;;;;;
217;local space;N/A;;N/A;;;;;;;;
218;solvability property;N/A;;N/A;;;;;;;;
219;theory stochastic differentiation;N/A;;N/A;;;;;;;;
220;twoscale convergence;N/A;;N/A;;;;;;;;
221;darcytype law;N/A;;N/A;;;;;;;;
222;twopressure stokes system;N/A;;N/A;;;;;;;;
223;cuspidal domain;N/A;;N/A;;;;;;;;
224;existence;Q1;;Q468777;2;;;"unexpected ""Q1"". ";;;;
225;fredholm character;N/A;;N/A;;;;;;;;
226;unique solvability;N/A;;N/A;;;;;;;;
227;boundary integral equation;N/A;;N/A;;;;;;;;
228;dirichlet problem;N/A;0;Q1192869;2;Q1192869;2;;;;;
229;neumann problem;N/A;;N/A;;;;;;;;
230;integral operator;Q43230999;2;Q43230999;2;Q43230999;2;;;;;
231;continuity;Q16206641;2;Q382618;2;Q382618;2;(Q382618) refers to mathematical continuity.;;;;
232;range;Q46831;1;Q438399;2;Q438399;2;"(Q46831) refers to ""mountain range"" and (Q438399) refers to Wikimedia disambiguation page.";;;;
233;injectivity;N/A;;N/A;;;;;;;;
234;exterior dirichlet problem;N/A;;N/A;;;;;;;;
235;outward peak;N/A;;N/A;;;;;;;;
236;stability estimate;N/A;;N/A;;;;;;;;
237;kontorovichlebedev transform;N/A;;N/A;;;;;;;;
238;macdonald function;N/A;;N/A;;;;;;;;
239;regularization;Q17143721;2;Q421316;2;Q17143721;2;(Q17143721) regularization in linguistics, replacement of irregular forms by regular ones and (Q421316) refers disambiguation page.;;;;
240;inversion formula;N/A;;N/A;;;;;;;;
241;lebedevskalskaya transform;N/A;;N/A;;;;;;;;
242;fractional brownian motion;N/A;;N/A;;;;;;;;
243;discrete time approximation;N/A;;N/A;;;;;;;;
244;market area problem;N/A;;N/A;;;;;;;;
245;set partitioning;N/A;;N/A;;;;;;;;
246;transportation problem;N/A;;N/A;;;;;;;;
247;transportation flow problem;N/A;;N/A;;;;;;;;
248;two discontinuity ray;N/A;;N/A;;;;;;;;
249;nonclassical wave;N/A;;N/A;;;;;;;;
250;diraccontact wave;N/A;;N/A;;;;;;;;
251;class linear map operator space;N/A;;N/A;;;;;;;;
252;pisier vectorvalued noncommutative l^pspaces;N/A;;N/A;;;;;;;;
253;schatten class;N/A;;N/A;;;;;;;;
254;pnuclear map;N/A;;N/A;;;;;;;;
255;banach operator ideal;N/A;;N/A;;;;;;;;
256;category operator space;N/A;;N/A;;;;;;;;
257;noncommutative quantized functional analysis;N/A;;N/A;;;;;;;;
258;w^*algebras;N/A;;N/A;;;;;;;;
259;quantum field theory;Q257189;1;Q54505;2;Q54505;2;;;;;
260;principal bimodules;N/A;;N/A;;;;;;;;
261;nest algebra;N/A;0;Q6997759;2;Q6997759;2;;;;;
262;closed countably generated bimodules;N/A;;N/A;;;;;;;;
263;nest element;N/A;;N/A;;;;;;;;
264;ncategories;N/A;;N/A;;;;;;;;
265;opetopes;N/A;;N/A;;;;;;;;
266;coherent algebra;N/A;0;Q56289856;2;Q56289856;2;;;;;
267;slice operad;N/A;;N/A;;;;;;;;
268;supersymmetric function;N/A;;N/A;;;;;;;;
269;connection coefficient;N/A;;N/A;;;;;;;;
270;isotropic submanifold;N/A;;N/A;;;;;;;;
271;integral representation;N/A;;N/A;;;;;;;;
272;quasimodes;N/A;;N/A;;;;;;;;
273;geometric quantization;Q630426;2;Q630426;2;Q630426;2;;;;;
274;symplectic connection;N/A;;N/A;;;;;;;;
275;factor space;N/A;;N/A;;;;;;;;
276;lebesgue space;N/A;0;Q6511321;2;Q6511321;2;;;;;
277;stochastically independent;Q625303;;N/A;;;;;;;;
278;stochastically commuting;N/A;;N/A;;;;;;;;
279;holomorphic dynamic;N/A;;N/A;;;;;;;;
280;quasiconformal;N/A;;N/A;;;;;;;;
281;teichmüller space;N/A;0;Q2400539;2;Q2400539;2;;;;;
282;rational map;N/A;;N/A;;;;;;;;
283;fatou set;N/A;0;Q3054872;2;Q3054872;2;;;;;
284;julia set;N/A;0;Q848427;2;Q848427;2;;;;;
285;bott periodicity;N/A;;N/A;;;;;;;;
286;crossed product;N/A;0;Q3406705;2;Q3406705;2;(Q178192) this is expected for cross product.;;;;
287;compact group;Q1887083;2;Q1887083;2;Q1887083;2;;;;;
288;grothendieck group;N/A;0;Q1128678;2;Q1128678;2;;;;;
289;complex gvector bundle;N/A;;N/A;;;;;;;;
290;reduced equivariant ktheory;N/A;;N/A;;;;;;;;
291;mathbb { } /2graded c^*algebra;N/A;;N/A;;;;;;;;
292;clifford algebra;N/A;0;Q674689;2;Q674689;2;;;;;
293;novikov conjecture;N/A;0;Q7064908;2;Q7064908;2;;;;;
294;homotopy invariance higher signature;N/A;;N/A;;;;;;;;
295;schur complex;N/A;;N/A;;;;;;;;
296;koszul complex;N/A;0;Q6433699;2;Q6433699;2;;;;;
297;row convex shape;N/A;;N/A;;;;;;;;
298;autocovariance operator;N/A;;N/A;;;;;;;;
299;linear stochastic difference equation;N/A;;N/A;;;;;;;;
300;continued fraction;N/A;0;Q206816;2;Q206816;2;;;;;
301;semisimple lie group;N/A;;N/A;;;;;;;;
302;abel transform;N/A;0;Q4666656;2;Q4666656;2;;;;;
303;fourier multiplier;N/A;;N/A;;;;;;;;
304;zonal spherical function;N/A;0;Q8073863;2;Q8073863;2;;;;;
305;radial maximal operator;N/A;;N/A;;;;;;;;
306;heat poisson maximal operator;N/A;;N/A;;;;;;;;
307;riesz transform;N/A;0;Q7333169;2;Q7333169;2;;;;;
308;müntzszasz theorem;N/A;;N/A;;;;;;;;
309;fourier transform;N/A;0;Q6520159;2;Q6520159;2;;;;;
310;nilpotent lie group;N/A;;N/A;;;;;;;;
311;unitary representation;Q10359539;2;Q10359539;2;Q10359539;2;;;;;
312;orbit method;Q7100049;2;Q7100049;2;Q7100049;2;;;;;
313;operator space;N/A;0;Q7097841;2;Q7097841;2;;;;;
314;completely bounded mapping;N/A;;N/A;;;;;;;;
315;bimodule;Q2903821;2;Q2903821;2;Q2903821;2;;;;;
316;relative yoneda cohomology;N/A;;N/A;;;;;;;;
317;hochschild cohomology;N/A;;N/A;;;;;;;;
318;relative injectivity;N/A;;N/A;;;;;;;;
319;projectivity;N/A;;N/A;;;;;;;;
320;amenability;N/A;;N/A;;;;;;;;
321;derived functor realization;N/A;;N/A;;;;;;;;
322;sznagyfoias commutant lifting theorem;N/A;;N/A;;;;;;;;
323;fractional integral;N/A;;N/A;;;;;;;;
324;radon transforms;N/A;;N/A;;;;;;;;
325;spherical convolution;N/A;;N/A;;;;;;;;
326;beltramilaplace operator;N/A;;N/A;;;;;;;;
327;analytical continuation;N/A;;N/A;;;;;;;;
328;spherical fourier multiplier;N/A;;N/A;;;;;;;;
329;spherical multilinear convolution;N/A;;N/A;;;;;;;;
330;csl algebra;N/A;;N/A;;;;;;;;
331;csm space;N/A;;N/A;;;;;;;;
332;;Q257834;;N/A;;;;"""Keyword Entity Name"" field is empty. (Q257834) refers to ""soft hypen"".";;;;
333;maximal abelian selfadjoint algebra;N/A;;N/A;;;;;;;;
334;inner function;Q3075246;1;N/A;0;;;"(Q3075246) refers to ""nested function"". ";;;;
335;invariant subspace;Q2706744;2;Q2706744;2;Q2706744;2;;;;;
336;carleson measure;N/A;0;Q5041178;2;Q5041178;2;;;;;
337;embedding theorem;N/A;;N/A;;;;;;;;
338;hardy space;N/A;0;Q1585233;2;Q1585233;2;;;;;
339;logsobolev inequality;N/A;;N/A;;;;;;;;
340;loop space;Q2066070;2;Q2066070;2;Q2066070;2;;;;;
341;riemannian manifold;N/A;0;Q632814;2;Q632814;2;;;;;
342;heat kernel;Q3345669;2;Q3345669;2;Q3345669;2;;;;;
343;martingale representation theorem;N/A;0;Q6777133;2;Q6777133;2;;;;;
344;clarkoconehaussman formula;N/A;;N/A;;;;;;;;
345;volterra operator;N/A;0;Q5313336;2;Q5313336;2;;;;;
346;retarded differential equation;N/A;;N/A;;;;;;;;
347;hereditary structure;N/A;;N/A;;;;;;;;
348;homeomorphism;Q202906;2;Q202906;2;Q202906;2;;;;;
349;unimodular group;N/A;;N/A;;;;;;;;
350;upper triangular matrix;N/A;;N/A;;;;;;;;
351;irreducible complex character;N/A;;N/A;;;;;;;;
352;regular character;Q24964251;2;Q24964251;2;Q24964251;2;;;;;
353;reductive group;Q1006450;2;Q1006450;2;Q1006450;2;;;;;
354;finite field;Q603880;2;Q603880;2;Q603880;2;;;;;
355;character sheaf;N/A;;N/A;;;;;;;;
356;mackey formula;N/A;;N/A;;;;;;;;
357;induced representation;N/A;0;Q3427423;2;Q3427423;2;;;;;
358;harishchandra induction;N/A;;N/A;;;;;;;;
359;lusztig induction;N/A;;N/A;;;;;;;;
360;frobenius morphisms;N/A;;N/A;;;;;;;;
361;hopf galois theory;N/A;;N/A;;;;;;;;
362;faithfully flat right galois extension;N/A;;N/A;;;;;;;;
363;left comodule algebra;N/A;;N/A;;;;;;;;
364;left galois extension;N/A;;N/A;;;;;;;;
365;bicomodules;N/A;;N/A;;;;;;;;
366;bigalois extension;N/A;;N/A;;;;;;;;
367;galois connection;N/A;0;Q1491747;2;Q1491747;2;;;;;
368;bijective antipode;N/A;;N/A;;;;;;;;
369;quotient coalgebras;N/A;;N/A;;;;;;;;
370;lattice hopf subalgebras;N/A;;N/A;;;;;;;;
371;tame extension;N/A;;N/A;;;;;;;;
372;class group;Q912083;1;N/A;0;Q912083;2;;;;;
373;hopf order;N/A;;N/A;;;;;;;;
374;realizable class;N/A;;N/A;;;;;;;;
375;galois module structure;N/A;;N/A;;;;;;;;
376;cocommutative separable hopf algebra;N/A;;N/A;;;;;;;;
377;pnilpotence;N/A;;N/A;;;;;;;;
378;number sylow subgroup;N/A;;N/A;;;;;;;;
379;finite group;Q1057968;2;Q1057968;2;Q1057968;2;;;;;
380;sylow theorem;N/A;;N/A;;;;;;;;
381;normal pcomplements;N/A;;N/A;;;;;;;;
382;matrix problem;N/A;;N/A;;;;;;;;
383;bipartite posets;N/A;;N/A;;;;;;;;
384;prinjective module;N/A;;N/A;;;;;;;;
385;tit quadratic form;N/A;;N/A;;;;;;;;
386;preprojective component;N/A;;N/A;;;;;;;;
387;finite partially ordered set;N/A;;N/A;;;;;;;;
388;incidence algebra;Q371133;2;Q371133;2;Q371133;2;;;;;
389;indecomposable prinjective module;N/A;;N/A;;;;;;;;
390;critical bipartite posets;N/A;;N/A;;;;;;;;
391;auslanderreiten quiver;N/A;;N/A;;;;;;;;
392;virasoro algebra;N/A;0;Q1366201;2;Q1366201;2;;;;;
393;representation;Q2905654;2;Q249614;2;Q2905654;2;(Q2905654) refers to mathematical term.;;;;
394;code vertex operator algebra;N/A;;N/A;;;;;;;;
395;simple vertex operator algebra;N/A;;N/A;;;;;;;;
396;rational conformal vector;N/A;;N/A;;;;;;;;
397;virasoro element;N/A;;N/A;;;;;;;;
398;elementary abelian automorphism 2group;N/A;;N/A;;;;;;;;
399;irreducible module;N/A;;N/A;;;;;;;;
400;fusion rule;N/A;;N/A;;;;;;;;
401;linearly topologized ring;N/A;;N/A;;;;;;;;
402;category equivalence;N/A;;N/A;;;;;;;;
403;category topologized module;N/A;;N/A;;;;;;;;
404;lower central series;N/A;;N/A;;;;;;;;
405;derivation;Q2762418;1;Q398804;2;Q398804;2;;;;;
406;superadditive sequence;N/A;;N/A;;;;;;;;
407;polynomial sequence;Q4762627;1;Q1052437;2;Q1052437;2;;;;;
408;solvability embedding problem;N/A;;N/A;;;;;;;;
409;obstruction;Q7075550;2;Q421560;2;Q1017338;2;;;;;
410;confluence;Q1140902;2;Q723748;2;Q1140902;2;(Q1140902) refers to Church–Rosser property.;;;;
411;polynomial algebra;Q1455652;1;N/A;0;Q1455652;1;;;;;
412;quadratic algebra;Q7268354;2;Q7268354;2;Q7268354;2;;;;;
413;diamond lemma;Q1208706;1;N/A;0;Q1208706;1;(Q1208706) exactly refers to Newman's lemma.;;;;
414;tensor algebra;Q2296021;2;Q2296021;2;Q2296021;2;;;;;
415;reduction operator;N/A;;N/A;;;;;;;;
416;generalized free product;N/A;;N/A;;;;;;;;
417;finitely generated torsionfree nilpotent group;N/A;;N/A;;;;;;;;
418;residually finite pgroups;N/A;;N/A;;;;;;;;
419;tree product;N/A;;N/A;;;;;;;;
420;essential cover;N/A;;N/A;;;;;;;;
421;generalized polynomial identity;N/A;;N/A;;;;;;;;
422;lattice radical;N/A;;N/A;;;;;;;;
423;complemented radical;N/A;;N/A;;;;;;;;
424;special radical;N/A;;N/A;;;;;;;;
425;matrix ring finite field;N/A;;N/A;;;;;;;;
426;semisimple class;N/A;;N/A;;;;;;;;
427;subdirect product;N/A;0;Q1691827;2;Q1691827;2;;;;;
428;direct sum simple ring;N/A;;N/A;;;;;;;;
429;kacmoody algebra;N/A;;N/A;;;;;;;;
430;lie superalgebras;N/A;;N/A;;;;;;;;
431;borel algebra;N/A;;N/A;;;;;;;;
432;generalized root decomposition;N/A;;N/A;;;;;;;;
433;representation lie superalgebras;N/A;;N/A;;;;;;;;
434;weak kacmoody superalgebras;N/A;;N/A;;;;;;;;
435;lie group;N/A;0;Q622679;2;Q622679;2;;;;;
436;symplectic reduction;N/A;;N/A;;;;;;;;
437;plurisubharmonic;N/A;;N/A;;;;;;;;
438;moment map;Q6897118;2;Q6897118;2;Q6897118;2;;;;;
439;complex reductive lie group;N/A;;N/A;;;;;;;;
440;stein manifold;N/A;0;Q931187;2;Q931187;2;;;;;
441;spectral collocation method;N/A;;N/A;;;;;;;;
442;triangular element;N/A;;N/A;;;;;;;;
443;auxiliary mapping;N/A;;N/A;;;;;;;;
444;preconditioning;Q1754327;2;N/A;0;Q1754327;2;;;;;
445;domain decomposition;N/A;;N/A;;;;;;;;
446;chebyshev collocation method;N/A;;N/A;;;;;;;;
447;singular solution;N/A;2;Q4338245;2;Q4338245;2;;;;;
448;finite difference;Q2068418;2;Q2068418;2;Q2068418;2;;;;;
449;iterative solver;N/A;;N/A;;;;;;;;
